	precision	recall	f1-score	support
Bridge	0.0	0.0	0.0	227.0
Chorus	0.6486778197517539	0.8088829071332436	0.7199760407307577	1486.0
Coda	0.0	0.0	0.0	226.0
Development	0.0	0.0	0.0	70.0
Fade-out	0.0	0.0	0.0	87.0
Head	0.0	0.0	0.0	565.0
Interlude	0.0	0.0	0.0	522.0
Intro	0.2301463718467767	0.8484500574052812	0.36207741303282703	871.0
Main_Theme	0.0	0.0	0.0	326.0
Outro	0.0	0.0	0.0	457.0
Pre-Chorus	0.0	0.0	0.0	96.0
Pre-Verse	0.0	0.0	0.0	16.0
Secondary_Theme	0.0	0.0	0.0	152.0
Silence	0.0	0.0	0.0	30.0
Solo	0.6824324324324325	0.8170504044803982	0.7436986689323138	1607.0
Theme	0.5128205128205128	0.5377720870678617	0.525	781.0
Transition	0.0	0.0	0.0	180.0
Verse	0.764249886000912	0.7283789656671013	0.7458834000890077	2301.0
accuracy	0.535	0.535	0.535	0.535
macro avg	0.15768483460291044	0.20780746787521587	0.17203530682138368	10000.0
weighted avg	0.44201134571494866	0.535	0.47066802878565334	10000.0
