	precision	recall	f1-score	support
Bridge	0.0	0.0	0.0	248.0
Chorus	0.7250530785562632	0.9198653198653198	0.8109231225883052	1485.0
Coda	0.0	0.0	0.0	209.0
Development	0.0	0.0	0.0	48.0
Fade-out	0.0	0.0	0.0	51.0
Head	0.7531305903398927	0.7531305903398927	0.7531305903398927	559.0
Interlude	0.37058823529411766	0.11731843575418995	0.1782178217821782	537.0
Intro	0.4389555398729711	0.7784730913642053	0.5613718411552348	799.0
Main_Theme	0.0	0.0	0.0	295.0
Outro	0.0	0.0	0.0	510.0
Pre-Chorus	0.0	0.0	0.0	90.0
Pre-Verse	0.0	0.0	0.0	20.0
Secondary_Theme	0.0	0.0	0.0	149.0
Silence	0.0	0.0	0.0	31.0
Solo	0.7988994497248624	0.9350117096018735	0.8616131642837874	1708.0
Theme	0.6239855725879171	0.7954022988505747	0.6993431025770591	870.0
Transition	0.0	0.0	0.0	172.0
Verse	0.7306079664570231	0.9423163587201442	0.8230663255264711	2219.0
accuracy	0.6852	0.6852	0.6852	0.6852
macro avg	0.24673446849072483	0.2911954335831222	0.2604258871251627	10000.0
weighted avg	0.5576041966217182	0.6852	0.6075907868605686	10000.0
